DISTANCE,ELEVATION,ELEV_DEM,ID,LATITUDE,LONGITUDE,MNET_ID,NAME,OBSERVATIONS.precipitation,PERIOD_OF_RECORD.end,PERIOD_OF_RECORD.start,RESTRICTED,STATE,STATUS,STID,TIMEZONE,ACCUM_30_DAYS,EPOCH_TIMEDELTA
14.54,486,488.8,4329,30.183040000000002,-97.67987,1,Austin-Bergstrom International Airport,"[{'count': 977, 'first_report': '1536969180', 'total': 3.04, 'last_report': '1539561180', 'report_type': 'precip_accum_one_hour'}]",2018-10-14T16:15:00Z,2002-08-14T00:00:00Z,False,TX,ACTIVE,KAUS,America/Chicago,3.04,2592000
8.31,597,587.3,4805,29.89361,-97.86471999999999,1,"San Marcos, San Marcos Municipal Airport","[{'count': 1190, 'first_report': '1536969360', 'total': 2.93, 'last_report': '1539561360', 'report_type': 'precip_accum_one_hour'}]",2018-10-14T16:15:00Z,2002-08-14T00:00:00Z,False,TX,ACTIVE,KHYI,America/Chicago,2.93,2592000
12.99,722,790.7,39734,30.176667,-97.874167,2,SOUTH AUSTIN RAWS,"[{'count': 719, 'first_report': '1536967080', 'total': 5.39, 'last_report': '1539559080', 'report_type': 'precip_accum'}]",2018-10-14T16:18:00Z,2013-05-16T00:00:00Z,False,TX,ACTIVE,AURT2,America/Chicago,5.39,2592000
13.72,877,908.8,41685,30.0834,-98.0081,187,Driftwood 4 SSE,"[{'count': 2880, 'first_report': '1536969300', 'total': 5.8, 'last_report': '1539561300', 'report_type': 'precip_accum_since_local_midnight'}]",2018-10-14T16:10:00Z,2013-11-09T00:00:00Z,False,TX,ACTIVE,DRCT2,America/Chicago,5.8,2592000
11.47,862,885.8,41686,30.14163,-97.9002,187,Manchaca 4 W,"[{'count': 2880, 'first_report': '1536969300', 'total': 5.01, 'last_report': '1539561300', 'report_type': 'precip_accum_since_local_midnight'}]",2018-10-14T16:10:00Z,2013-11-09T00:00:00Z,False,TX,ACTIVE,MTCT2,America/Chicago,5.01,2592000
13.94,482,482.3,41687,30.17732,-97.68896,187,Onion Creek at Hwy 183 - Austin,"[{'count': 2879, 'first_report': '1536969300', 'total': 3.38, 'last_report': '1539561300', 'report_type': 'precip_accum_since_local_midnight'}]",2018-10-14T16:10:00Z,2013-11-09T00:00:00Z,False,TX,ACTIVE,ATIT2,America/Chicago,3.38,2592000
13.13,526,541.3,41694,29.93733,-97.593,187,Lockhart 6 NE,"[{'count': 2878, 'first_report': '1536969300', 'total': 2.12, 'last_report': '1539561300', 'report_type': 'precip_accum_since_local_midnight'}]",2018-10-14T16:10:00Z,2013-11-09T00:00:00Z,False,TX,ACTIVE,LRCT2,America/Chicago,2.12,2592000
13.17,864,869.4,63148,29.939053,-98.008392,2,SAN MARCOS-WEST,"[{'count': 721, 'first_report': '1536966000', 'total': 4.68, 'last_report': '1539561600', 'report_type': 'precip_accum'}]",2018-10-14T16:00:00Z,2017-08-22T20:06:00Z,False,TX,ACTIVE,SRWT2,America/Chicago,4.68,2595600
1.23,650,656.2,63149,29.998241999999998,-97.820453,2,KYLE-EAST,"[{'count': 721, 'first_report': '1536966000', 'total': 3.84, 'last_report': '1539561600', 'report_type': 'precip_accum'}]",2018-10-14T16:00:00Z,2017-08-22T21:06:00Z,False,TX,ACTIVE,KRET2,America/Chicago,3.84,2595600
13.98,588,597.1,63375,30.19493,-97.73739,225,Teri Road near Nuckols Crossing,"[{'count': 2877, 'first_report': '1536968700', 'total': 4.0, 'last_report': '1539561600', 'report_type': 'precip_accum_fifteen_minute'}]",2018-10-14T16:15:00Z,2017-09-26T18:59:00Z,False,TX,ACTIVE,TNCT2,America/Chicago,4.0,2592900
